,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
144,-1786.3686030000001,-1660.142533,-866.001108,-1263.19442,-1036.464126,-1794.669662,-976.6349050000001,-1397.87399,-1542.068284,-1034.274014,-1335.7691645,29000
145,-1494.999359,-1384.339448,-1075.439193,-1118.086226,-1311.411476,-1552.73794,-1617.221104,-1470.7095570000001,-1254.50892,-1105.394988,-1338.4848211,29200
146,-1724.4592539999999,-1122.7083460000001,-980.197725,-1243.314112,-1027.796409,-1768.810209,-1759.2125649999998,-934.854598,-1519.074294,-1035.25881,-1311.5686321999997,29400
147,-1590.4430539999998,-1821.537921,-1213.687443,-1030.60178,-1228.027526,-1791.807127,-1117.5294,-1326.795177,-1287.87654,-1195.800126,-1360.4106093999999,29600
148,-1394.729642,-1553.77881,-871.455455,-1031.298487,-1191.514858,-1704.6053780000002,-1191.332277,-1532.336215,-1699.1890829999998,-1786.6506539999998,-1395.6890858999998,29800
149,-1587.773643,-1043.0611390000001,-984.987359,-989.027292,-1206.567433,-1672.898938,-1519.8304660000001,-1467.175282,-1864.796348,-944.2273880000001,-1328.0345287999999,30000
150,-1326.184869,-1354.082175,-1021.3294699999999,-976.485717,-1185.57669,-1651.230246,-1676.639444,-1784.568907,-1379.145998,-772.808245,-1312.8051761000002,30200
151,-1476.381402,-1485.575739,-1071.2292320000001,-1065.075735,-1213.592944,-1769.2167600000002,-1800.687847,-1196.607418,-1112.579145,-994.218043,-1318.5164264999999,30400
152,-1385.411305,-1816.9024399999998,-1386.562934,-990.856741,-1324.2575279999999,-1465.7743380000002,-1421.924886,-819.357921,-1623.72912,-1034.1506060000002,-1326.8927819000005,30600
153,-1503.952845,-1514.86761,-1064.351321,-1517.27856,-1297.350633,-1735.986691,-851.240776,-1545.8825960000001,-1277.278491,-1430.527838,-1373.8717361000001,30800
